Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Africa,,1971,164,0,0,2.601.339
Africa,,1972,165,0,0,29.633.196
Africa,,1973,0.17,0,0,31.345.707
Africa,,1974,175,0,0,35.667.076
Africa,,1975,172,0,0,37.717.968
Africa,,1976,185,0,0,41.797.634
Africa,,1977,189,0,0,4.592.877
Africa,,1978,195,0,0,46.306.942
Africa,,1979,201,0,0,4.956.523
Africa,,1980,207,0,0,48.311.787
Africa,,1981,218,0,0,50.192.905
Africa,,1982,236,0,0,50.206.238
Africa,,1983,0.23,0,0,4.524.716
Africa,,1984,234,0,0,44.489.975
Africa,,1985,269,0,0,49.449.684
Africa,,1986,659,0,0,5.114.537
Africa,,1987,658,0,0,4.905.646
Africa,,1988,626,0,0,53.593.452
Africa,,1989,617,0,0,5.627.621
Africa,,1990,796,0,0,57.254.658
Africa,,1991,812,0,0,6.065.149
Africa,,1992,84.225,0,0,5.786.029
Africa,,1993,9.377,0,2,56.682.507
Africa,,1994,835,0,54,5.759.605
Africa,,1995,1.0187,0,63,5.976.888
Africa,,1996,1.258.093,0,71,6.231.646
Africa,,1997,13.866.404,0,72,63.852.497
Africa,,1998,17.125.492,0,76,66.654.884
Africa,,1999,16.961.248,0,198,7.068.426
Africa,,2000,22.690.632,11.941,1.755,7.525.581
Africa,,2001,23.353.527,1.496,41.558,8.086.911
Africa,,2002,2.2864,16.799.714,44.358.402,8.502.647
Africa,,2003,2.6224,20.059.295,535.599,8.257.461
Africa,,2004,29.788.496,2.456.688,7.682.805,8.721.947
Africa,,2005,30.096.693,29.383.464,7.803.821,8.883.774
Africa,,2006,37.704.048,3.791.205,8.525.656,92.049.355
Africa,,2007,31.420.484,50.479.364,10.162.233,9.519.856
Africa,,2008,32.673.957,7.265.389,13.117.782,9.696.721
Africa,,2009,35.627.222,9.582.155,15.892.309,9.956.114
Africa,,2010,3.764.553,21.605.176,22.845.824,10.769.848
Africa,,2011,38.587.685,6.020.893,2.386.504,11.075.051
Africa,,2012,40.424.066,99.265.915,25.156.302,11.122.693
Africa,,2013,4.433.249,7.875.202,35.934.472,11.765.244
Africa,,2014,5.462.047,19.041.501,5.060.073,12.408.204
Africa,,2015,71.696.815,32.586.064,89.106.865,1.204.148
Africa,,2016,7.231.852,53.840.914,11.176.371,11.742.635
Africa,,2017,76.260.357,77.734.146,12.457.454,12.634.168
Africa,,2018,817.267,10.053.543,14.769.322,13.460.007
Africa,,2019,8.262.966,12.894.289,19.331.635,1.394.176
Africa,,2020,8.066.416,16.058.805,21.302.898,14.637.308
Africa,,2021,8.026.317,16.515.236,2.441.597,1.534.187
Africa,,1965,,,0,13.905.635
Africa,,1966,,,0,15.510.005
Africa,,1967,,,0,16.190.636
Africa,,1968,,,0,18.938.341
Africa,,1969,,,0,22.100.891
Africa,,1970,,,0,27.630.428
Africa (BP),,1971,164,0,0,26.013.391
Africa (BP),,1972,165,0,0,29.633.196
Africa (BP),,1973,0.17,0,0,31.345.707
Africa (BP),,1974,175,0,0,35.667.076
Africa (BP),,1975,172,0,0,3.771.797
Africa (BP),,1976,185,0,0,41.797.634
Africa (BP),,1977,189,0,0,4.592.877
Africa (BP),,1978,195,0,0,4.630.694
Africa (BP),,1979,201,0,0,4.956.523
Africa (BP),,1980,207,0,0,48.311.783
Africa (BP),,1981,218,0,0,50.192.905
Africa (BP),,1982,236,0,0,50.206.238
Africa (BP),,1983,0.23,0,0,4.524.716
Africa (BP),,1984,234,0,0,44.489.975
Africa (BP),,1985,269,0,0,49.449.684
Africa (BP),,1986,659,0,0,51.145.374
Africa (BP),,1987,658,0,0,4.905.646
Africa (BP),,1988,626,0,0,53.593.456
Africa (BP),,1989,617,0,0,56.276.215
Africa (BP),,1990,796,0,0,57.254.658
Africa (BP),,1991,812,0,0,6.065.149
Africa (BP),,1992,84.225,0,0,5.786.029
Africa (BP),,1993,9.377,0,2,56.682.507
Africa (BP),,1994,835,0,54,5.759.605
Africa (BP),,1995,1.0187,0,63,59.768.875
Africa (BP),,1996,12.580.931,0,71,6.231.646
Africa (BP),,1997,13.866.404,0,72,63.852.497
Africa (BP),,1998,17.125.493,0,76,66.654.884
Africa (BP),,1999,16.961.248,0,198,7.068.426
Africa (BP),,2000,22.690.632,11.941,1.755,7.525.581
Africa (BP),,2001,23.353.527,1.496,41.558,8.086.912
Africa (BP),,2002,2.2864,16.799.713,443.584,8.502.647
Africa (BP),,2003,2.6224,20.059.297,535.599,825.746
Africa (BP),,2004,29.788.496,2.456.688,7.682.805,8.721.947
Africa (BP),,2005,30.096.693,29.383.464,7.803.821,8.883.773
Africa (BP),,2006,37.704.048,3.791.205,8.525.656,92.049.355
Africa (BP),,2007,31.420.484,50.479.364,10.162.233,9.519.856
Africa (BP),,2008,32.673.957,7.265.389,13.117.782,9.696.721
Africa (BP),,2009,35.627.222,9.582.156,15.892.309,99.561.134
Africa (BP),,2010,3.764.553,21.605.176,22.845.824,10.769.849
Africa (BP),,2011,38.587.687,6.020.893,2.386.504,11.075.051
Africa (BP),,2012,4.042.407,99.265.915,25.156.302,11.122.693
Africa (BP),,2013,4.433.249,7.875.202,35.934.472,11.765.245
Africa (BP),,2014,5.462.047,19.041.501,5.060.073,12.408.205
Africa (BP),,2015,71.696.815,32.586.064,89.106.865,1.204.148
Africa (BP),,2016,7.231.852,53.840.914,11.176.371,11.742.635
Africa (BP),,2017,76.260.357,77.734.146,12.457.454,12.634.168
Africa (BP),,2018,817.267,10.053.543,14.769.322,13.460.008
Africa (BP),,2019,8.262.966,12.894.289,19.331.633,1.394.176
Africa (BP),,2020,8.066.416,16.058.805,21.302.898,14.637.308
Africa (BP),,2021,8.026.318,16.515.236,2.441.597,15.341.869
Africa (BP),,1965,,,0,13.905.635
Africa (BP),,1966,,,0,15.510.004
Africa (BP),,1967,,,0,16.190.636
Africa (BP),,1968,,,0,18.938.341
Africa (BP),,1969,,,0,2.210.089
Africa (BP),,1970,,,0,2.763.043
Algeria,DZA,1965,0,0,0,0.4
Algeria,DZA,1966,0,0,0,355
Algeria,DZA,1967,0,0,0,0.41
Algeria,DZA,1968,0,0,0,563
Algeria,DZA,1969,0,0,0,361
Algeria,DZA,1970,0,0,0,0.58
Algeria,DZA,1971,0,0,0,0.33
Algeria,DZA,1972,0,0,0,495
Algeria,DZA,1973,0,0,0,752
Algeria,DZA,1974,0,0,0,497
Algeria,DZA,1975,0,0,0,328
Algeria,DZA,1976,0,0,0,389
Algeria,DZA,1977,0,0,0,269
Algeria,DZA,1978,0,0,0,0.25
Algeria,DZA,1979,0,0,0,291
Algeria,DZA,1980,0,0,0,257
Algeria,DZA,1981,0,0,0,366
